Type,HourlyRate,DailyRate,RelRate
BaitHunter,180,1800,11.53846154
BaitHunterLead,280,2800,17.94871795
BaitHunterAvg,230,2300,14.74358974
BoatPlusOperator,90,900,5.769230769
HunterAvg,135,1350,8.653846154
Dog,40,400,2.564102564
DogHunter,90,900,5.769230769
HeliHunter,120,1200,7.692307692
HeliPlusOperator,1560,15600,100
